rule,support,confidence,lift
Toys Item 39  →  Toys Item 15,0.1,0.7142857142857143,4.464285714285714
Toys Item 15  →  Toys Item 39,0.1,0.625,4.4642857142857135
Clothing Item 13  →  Home Item 79,0.1,0.7142857142857143,3.571428571428571
Home Item 79  →  Clothing Item 13,0.1,0.5,3.571428571428571
Home Item 76  →  Toys Item 65,0.1,0.7142857142857143,3.2467532467532467
Clothing Item 42  →  Beauty Item 70,0.1,1.0,2.941176470588235
Books Item 11  →  Clothing Item 4,0.1,0.5555555555555556,2.5252525252525255
Books Item 11  →  Home Item 77,0.1,0.5555555555555556,2.5252525252525255
Electronics Item 64  →  Home Item 79,0.1,0.5,2.5
Home Item 79  →  Electronics Item 64,0.1,0.5,2.5
Home Item 79  →  Clothing Item 44,0.1,0.5,2.272727272727273
Clothing Item 89  →  Books Item 43,0.14,0.5384615384615385,2.243589743589744
Books Item 43  →  Clothing Item 89,0.14,0.5833333333333334,2.2435897435897436
Beauty Item 24  →  Beauty Item 70,0.1,0.7142857142857143,2.100840336134454
Clothing Item 3  →  Beauty Item 70,0.1,0.625,1.838235294117647
Toys Item 15  →  Beauty Item 70,0.1,0.625,1.838235294117647
Toys Item 33  →  Beauty Item 70,0.1,0.625,1.838235294117647
Home Item 51  →  Beauty Item 70,0.14,0.5384615384615385,1.5837104072398192
Toys Item 49  →  Beauty Item 70,0.1,0.5,1.4705882352941175
