UserID,Rank,ProductID,ProductName,Category
U000,1,P0029,Books Item 29,Electronics
U000,2,P0064,Electronics Item 64,Electronics
U000,3,P0032,Toys Item 32,Beauty
U000,4,P0062,Books Item 62,Clothing
U000,5,P0083,Beauty Item 83,Beauty
U001,1,P0046,Home Item 46,Toys
U001,2,P0061,Clothing Item 61,Home
U001,3,P0063,Beauty Item 63,Beauty
U001,4,P0071,Beauty Item 71,Toys
U001,5,P0060,Toys Item 60,Home
U002,1,P0041,Books Item 41,Home
U002,2,P0033,Toys Item 33,Books
U002,3,P0034,Beauty Item 34,Electronics
U002,4,P0039,Toys Item 39,Electronics
U002,5,P0032,Toys Item 32,Beauty
U003,1,P0025,Clothing Item 25,Toys
U003,2,P0048,Electronics Item 48,Toys
U003,3,P0083,Beauty Item 83,Beauty
U003,4,P0098,Electronics Item 98,Books
U003,5,P0030,Books Item 30,Books
U004,1,P0041,Books Item 41,Home
U004,2,P0024,Beauty Item 24,Books
U004,3,P0036,Beauty Item 36,Home
U004,4,P0032,Toys Item 32,Beauty
U004,5,P0033,Toys Item 33,Books
U005,1,P0040,Electronics Item 40,Home
U005,2,P0083,Beauty Item 83,Beauty
U005,3,P0075,Clothing Item 75,Home
U005,4,P0093,Electronics Item 93,Clothing
U005,5,P0073,Toys Item 73,Beauty
U006,1,P0035,Beauty Item 35,Clothing
U006,2,P0071,Beauty Item 71,Toys
U006,3,P0095,Toys Item 95,Books
U006,4,P0041,Books Item 41,Home
U006,5,P0075,Clothing Item 75,Home
U007,1,P0046,Home Item 46,Toys
U007,2,P0050,Beauty Item 50,Clothing
U007,3,P0061,Clothing Item 61,Home
U007,4,P0024,Beauty Item 24,Books
U007,5,P0045,Electronics Item 45,Electronics
U008,1,P0069,Beauty Item 69,Toys
U008,2,P0043,Books Item 43,Clothing
U008,3,P0080,Home Item 80,Electronics
U008,4,P0066,Home Item 66,Beauty
U008,5,P0073,Toys Item 73,Beauty
U009,1,P0030,Books Item 30,Books
U009,2,P0072,Home Item 72,Beauty
U009,3,P0008,Books Item 8,Electronics
U009,4,P0041,Books Item 41,Home
U009,5,P0032,Toys Item 32,Beauty
U010,1,P0008,Books Item 8,Electronics
U010,2,P0041,Books Item 41,Home
U010,3,P0037,Books Item 37,Beauty
U010,4,P0039,Toys Item 39,Electronics
U010,5,P0064,Electronics Item 64,Electronics
U011,1,P0001,Clothing Item 1,Electronics
U011,2,P0024,Beauty Item 24,Books
U011,3,P0092,Home Item 92,Beauty
U011,4,P0046,Home Item 46,Toys
U011,5,P0061,Clothing Item 61,Home
U012,1,P0091,Clothing Item 91,Electronics
U012,2,P0017,Beauty Item 17,Toys
U012,3,P0022,Toys Item 22,Beauty
U012,4,P0018,Home Item 18,Electronics
U012,5,P0039,Toys Item 39,Electronics
U013,1,P0052,Home Item 52,Books
U013,2,P0083,Beauty Item 83,Beauty
U013,3,P0048,Electronics Item 48,Toys
U013,4,P0006,Books Item 6,Books
U013,5,P0000,Toys Item 0,Clothing
U014,1,P0042,Clothing Item 42,Toys
U014,2,P0001,Clothing Item 1,Electronics
U014,3,P0063,Beauty Item 63,Beauty
U014,4,P0071,Beauty Item 71,Toys
U014,5,P0091,Clothing Item 91,Electronics
U015,1,P0016,Beauty Item 16,Electronics
U015,2,P0008,Books Item 8,Electronics
U015,3,P0023,Home Item 23,Clothing
U015,4,P0030,Books Item 30,Books
U015,5,P0044,Clothing Item 44,Books
U016,1,P0072,Home Item 72,Beauty
U016,2,P0061,Clothing Item 61,Home
U016,3,P0063,Beauty Item 63,Beauty
U016,4,P0071,Beauty Item 71,Toys
U016,5,P0004,Clothing Item 4,Electronics
U017,1,P0032,Toys Item 32,Beauty
U017,2,P0083,Beauty Item 83,Beauty
U017,3,P0007,Books Item 7,Books
U017,4,P0091,Clothing Item 91,Electronics
U017,5,P0006,Books Item 6,Books
U018,1,P0083,Beauty Item 83,Beauty
U018,2,P0098,Electronics Item 98,Books
U018,3,P0017,Beauty Item 17,Toys
U018,4,P0023,Home Item 23,Clothing
U018,5,P0037,Books Item 37,Beauty
U019,1,P0044,Clothing Item 44,Books
U019,2,P0001,Clothing Item 1,Electronics
U019,3,P0049,Toys Item 49,Beauty
U019,4,P0092,Home Item 92,Beauty
U019,5,P0099,Clothing Item 99,Beauty
U020,1,P0078,Toys Item 78,Beauty
U020,2,P0007,Books Item 7,Books
U020,3,P0030,Books Item 30,Books
U020,4,P0041,Books Item 41,Home
U020,5,P0017,Beauty Item 17,Toys
U021,1,P0017,Beauty Item 17,Toys
U021,2,P0065,Toys Item 65,Clothing
U021,3,P0000,Toys Item 0,Clothing
U021,4,P0018,Home Item 18,Electronics
U021,5,P0039,Toys Item 39,Electronics
U022,1,P0063,Beauty Item 63,Beauty
U022,2,P0071,Beauty Item 71,Toys
U022,3,P0072,Home Item 72,Beauty
U022,4,P0029,Books Item 29,Electronics
U022,5,P0064,Electronics Item 64,Electronics
U023,1,P0001,Clothing Item 1,Electronics
U023,2,P0092,Home Item 92,Beauty
U023,3,P0002,Books Item 2,Electronics
U023,4,P0041,Books Item 41,Home
U023,5,P0053,Electronics Item 53,Clothing
U024,1,P0029,Books Item 29,Electronics
U024,2,P0094,Toys Item 94,Electronics
U024,3,P0023,Home Item 23,Clothing
U024,4,P0095,Toys Item 95,Books
U024,5,P0070,Beauty Item 70,Toys
U025,1,P0041,Books Item 41,Home
U025,2,P0072,Home Item 72,Beauty
U025,3,P0073,Toys Item 73,Beauty
U025,4,P0088,Clothing Item 88,Books
U025,5,P0078,Toys Item 78,Beauty
U026,1,P0016,Beauty Item 16,Electronics
U026,2,P0020,Clothing Item 20,Home
U026,3,P0046,Home Item 46,Toys
U026,4,P0050,Beauty Item 50,Clothing
U026,5,P0023,Home Item 23,Clothing
U027,1,P0041,Books Item 41,Home
U027,2,P0061,Clothing Item 61,Home
U027,3,P0005,Home Item 5,Toys
U027,4,P0030,Books Item 30,Books
U027,5,P0043,Books Item 43,Clothing
U028,1,P0030,Books Item 30,Books
U028,2,P0037,Books Item 37,Beauty
U028,3,P0039,Toys Item 39,Electronics
U028,4,P0032,Toys Item 32,Beauty
U028,5,P0094,Toys Item 94,Electronics
U029,1,P0034,Beauty Item 34,Electronics
U029,2,P0039,Toys Item 39,Electronics
U029,3,P0092,Home Item 92,Beauty
U029,4,P0075,Clothing Item 75,Home
U029,5,P0051,Home Item 51,Clothing
U030,1,P0072,Home Item 72,Beauty
U030,2,P0041,Books Item 41,Home
U030,3,P0009,Clothing Item 9,Books
U030,4,P0061,Clothing Item 61,Home
U030,5,P0089,Clothing Item 89,Beauty
U031,1,P0007,Books Item 7,Books
U031,2,P0070,Beauty Item 70,Toys
U031,3,P0069,Beauty Item 69,Toys
U031,4,P0066,Home Item 66,Beauty
U031,5,P0027,Electronics Item 27,Books
U032,1,P0003,Clothing Item 3,Electronics
U032,2,P0049,Toys Item 49,Beauty
U032,3,P0008,Books Item 8,Electronics
U032,4,P0041,Books Item 41,Home
U032,5,P0034,Beauty Item 34,Electronics
U033,1,P0041,Books Item 41,Home
U033,2,P0004,Clothing Item 4,Electronics
U033,3,P0011,Books Item 11,Electronics
U033,4,P0017,Beauty Item 17,Toys
U033,5,P0039,Toys Item 39,Electronics
U034,1,P0041,Books Item 41,Home
U034,2,P0050,Beauty Item 50,Clothing
U034,3,P0092,Home Item 92,Beauty
U034,4,P0000,Toys Item 0,Clothing
U034,5,P0065,Toys Item 65,Clothing
U035,1,P0020,Clothing Item 20,Home
U035,2,P0046,Home Item 46,Toys
U035,3,P0061,Clothing Item 61,Home
U035,4,P0005,Home Item 5,Toys
U035,5,P0041,Books Item 41,Home
U036,1,P0005,Home Item 5,Toys
U036,2,P0039,Toys Item 39,Electronics
U036,3,P0014,Home Item 14,Home
U036,4,P0077,Home Item 77,Electronics
U036,5,P0002,Books Item 2,Electronics
U037,1,P0052,Home Item 52,Books
U037,2,P0062,Books Item 62,Clothing
U037,3,P0014,Home Item 14,Home
U037,4,P0082,Toys Item 82,Books
U037,5,P0041,Books Item 41,Home
U038,1,P0060,Toys Item 60,Home
U038,2,P0052,Home Item 52,Books
U038,3,P0062,Books Item 62,Clothing
U038,4,P0070,Beauty Item 70,Toys
U038,5,P0008,Books Item 8,Electronics
U039,1,P0052,Home Item 52,Books
U039,2,P0062,Books Item 62,Clothing
U039,3,P0014,Home Item 14,Home
U039,4,P0082,Toys Item 82,Books
U039,5,P0075,Clothing Item 75,Home
U040,1,P0088,Clothing Item 88,Books
U040,2,P0001,Clothing Item 1,Electronics
U040,3,P0039,Toys Item 39,Electronics
U040,4,P0051,Home Item 51,Clothing
U040,5,P0091,Clothing Item 91,Electronics
